#	Адрес	Текст примечания	axis_2_your	axis_4_your	Примечание
1	Rām. Sundara 5.1.1	О губитель врагов (śatrukarśana) — букв. «иссушающий врагов»; устойчивый эпитет Хануманы в кн. V. Дальнейшие употребления без примечания.			
2	Rām. Sundara 5.1.1	Похищенная Раваной (rāvaṇanītāyāḥ). ***[Е. Костина]*** «rāvaṇanītāyāḥ» Опущено. Здесь и далее буду отмечать незафиксированные опущения, чтобы в дальнейшем можно было отразить их в комментарии.			
3	Rām. Sundara 5.1.1	На тропу небожителей (cāraṇācarite pathi) — букв. «на тропе, по которой ходят чараны». В комментарии «Таттвадипика» поясняется «на дороге богов» (suravartmani). В комментарии «Бхушана» слово cāraṇāḥ объясняется как «божественные певцы» (dēvagāyakāḥ). Голдмены переводят «celestial bards».			
4	Rām. Sundara 5.1.2	Ванара (vānara) — букв. «лесной житель»; обезьяна. Общий термин для обозначения народа Сугривы. В «Тилаке» отмечается, что ванары обладают божественным происхождением.			
5	Rām. Sundara 5.1.2	Могучий (mahābala) — ситуативный эпитет, прилагаемый здесь к Хануману. Букв. «обладающий великой силой».			
6	Rām. Sundara 5.1.2	Стойкий (dhīra) — букв. «твердый», «мудрый». В контексте подготовки к прыжку подчеркивает ментальную концентрацию героя.			
7	Rām. Sundara 5.1.3	Мудрый (dhīmān). ***[Е. Костина]*** «dhīmān» Опущено. Следует ли отмечать все эпитеты мудрости, если они не несут терминологической нагрузки?			
8	Rām. Sundara 5.1.5	Принимающий любой облик (kāmarūpa) — букв. «облик согласно желанию». По «Широмани» поясняется как способность менять размер тела. Голдмены переводят «able to change his form at will».			
9	Rām. Sundara 5.1.6	Лучший меж обезьянами (kapivara) — стандартный эпитет-сравнение (vānaraśreṣṭha). Синонимичен plavaṃgapravara.			
10	Rām. Sundara 5.1.7	Был нагу подобен в озере (hrade nāga ivābabhau) — слово nāga может означать как «наг» (полубожественный змей), так и «слон». Из комментаторов только автор «Широмани» глоссирует это слово как gaja (слон). Большинство западных переводчиков склоняются к варианту «наг» (Goldman 1984: 302).			
11	Rām. Sundara 5.1.9	Лучший из прыгунов (plavaṃgapravara). ***[Е. Костина]*** Здесь возникает вопрос о принципе: нужно ли оговаривать все опущения компонентов имён в ремарках?			
